  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
3,152,       00:31:43 ,85.94%,85.83%,0.4197,0.4372,0.0034
3,153,       00:31:56 ,89.06%,86.81%,0.342,0.4204,0.0034
3,154,       00:32:10 ,89.06%,86.32%,0.3931,0.4235,0.0034
3,155,       00:32:24 ,95.31%,85.62%,0.1664,0.4208,0.0034
3,156,       00:32:39 ,93.75%,86.81%,0.2994,0.414,0.0034
4,157,       00:32:53 ,82.81%,84.58%,0.556,0.4487,0.0034
4,158,       00:33:06 ,84.38%,85.83%,0.6175,0.4069,0.0034
4,159,       00:33:19 ,79.69%,86.39%,0.5902,0.3983,0.0034
4,160,       00:33:33 ,79.69%,87.36%,0.4923,0.4135,0.0034
4,161,       00:33:47 ,79.69%,85.69%,0.629,0.4502,0.0034
4,162,       00:34:00 ,84.38%,84.31%,0.4366,0.4653,0.0034
4,163,       00:34:13 ,81.25%,85.21%,0.5264,0.4693,0.0034
4,164,       00:34:27 ,84.38%,86.67%,0.4915,0.4223,0.0034
4,165,       00:34:41 ,89.06%,86.53%,0.4288,0.3949,0.0034
4,166,       00:34:55 ,79.69%,87.85%,0.599,0.3665,0.0034
4,167,       00:35:08 ,87.50%,86.25%,0.3084,0.4012,0.0034
4,168,       00:35:22 ,92.19%,85.21%,0.2551,0.4421,0.0034
4,169,       00:35:36 ,90.62%,85.21%,0.3686,0.4776,0.0034
4,170,       00:35:50 ,78.12%,85.07%,0.538,0.4467,0.0034
4,171,       00:36:03 ,89.06%,84.93%,0.2679,0.4736,0.0034
4,172,       00:36:17 ,85.94%,86.67%,0.3474,0.4149,0.0034
4,173,       00:36:30 ,82.81%,87.57%,0.5435,0.4139,0.0034
4,174,       00:36:44 ,89.06%,86.25%,0.2701,0.422,0.0034
4,175,       00:36:58 ,89.06%,87.01%,0.3362,0.4365,0.0034
4,176,       00:37:12 ,82.81%,87.15%,0.5522,0.3943,0.0034
4,177,       00:37:26 ,78.12%,86.94%,0.7865,0.4011,0.0034
4,178,       00:37:39 ,85.94%,86.53%,0.4686,0.4054,0.0034
4,179,       00:37:53 ,87.50%,86.39%,0.4364,0.3798,0.0034
4,180,       00:38:06 ,85.94%,86.46%,0.355,0.3816,0.0034
4,181,       00:38:19 ,84.38%,85.83%,0.4511,0.3771,0.0034
4,182,       00:38:30 ,87.50%,85.56%,0.3797,0.3978,0.0034
4,183,       00:38:41 ,78.12%,85.62%,0.48,0.3938,0.0034
4,184,       00:38:54 ,84.38%,85.83%,0.4784,0.3817,0.0034
4,185,       00:39:05 ,79.69%,85.83%,0.4013,0.3862,0.0034
4,186,       00:39:16 ,89.06%,86.11%,0.3969,0.4044,0.0034
4,187,       00:39:27 ,81.25%,87.22%,0.4993,0.3624,0.0034
4,188,       00:39:37 ,90.62%,88.40%,0.2816,0.3517,0.0034
4,189,       00:39:48 ,85.94%,87.36%,0.4045,0.3971,0.0034
4,190,       00:39:59 ,82.81%,87.22%,0.5413,0.3902,0.0034
4,191,       00:40:12 ,81.25%,87.50%,0.5055,0.3761,0.0034
4,192,       00:40:25 ,84.38%,87.36%,0.4409,0.3699,0.0034
4,193,       00:40:37 ,89.06%,85.97%,0.4494,0.3926,0.0034
4,194,       00:40:49 ,89.06%,87.85%,0.3114,0.3646,0.0034
4,195,       00:41:01 ,81.25%,86.11%,0.4928,0.3917,0.0034
